ID_,ACCOUNT_,MAPPING_RULESET_,NUMBER_
900464e0-ba76-11e4-8dfc-aa07a5b093db,d2a59efe-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0450
9004697c-ba76-11e4-8dfc-aa07a5b093db,d2a5a02a-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0460
90046738-ba76-11e4-8dfc-aa07a5b093db,d2a5a318-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0470
9004660c-ba76-11e4-8dfc-aa07a5b093db,d2a5a55c-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0500
9004685a-ba76-11e4-8dfc-aa07a5b093db,d2a59404-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0510
c42d1b9a-ba76-11e4-8dfc-aa07a5b093db,d2a59738-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0520
c42d1df2-ba76-11e4-8dfc-aa07a5b093db,d2a598a0-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0540
c42d1f3c-ba76-11e4-8dfc-aa07a5b093db,d2a599d6-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0560
c42d2072-ba76-11e4-8dfc-aa07a5b093db,d2a59b0c-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0620
c42d2996-ba76-11e4-8dfc-aa07a5b093db,d2a59db4-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0630
c42d21b2-ba76-11e4-8dfc-aa07a5b093db,d2a59efe-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0635
c42d22f2-ba76-11e4-8dfc-aa07a5b093db,d2a5a02a-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0640
c42d2612-ba76-11e4-8dfc-aa07a5b093db,d2a5a318-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0650
